sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),target
4.556204644961005,3.5,1.4,0.2,0
4.79834403210615,3.0,1.4,0.2,0
5.037610702604793,3.2,1.3,0.2,0
3.965942965107746,3.1,1.5,0.2,0
5.008782429907486,3.6,1.4,0.2,0
5.7244461385825645,3.9,1.7,0.4,0
4.594602415861096,3.4,1.4,0.3,0
5.221826685642527,3.4,1.5,0.2,0
4.157234179160248,2.9,1.4,0.2,0
5.865781279841485,3.1,1.5,0.1,0
5.576684521939439,3.7,1.5,0.2,0
4.073284889983778,3.4,1.6,0.2,0
5.273305650301476,3.0,1.4,0.1,0
4.864406294131846,3.0,1.1,0.1,0
5.7196412377272,4.0,1.2,0.2,0
4.797455760822231,4.4,1.5,0.4,0
5.667114982996482,3.9,1.3,0.4,0
4.796272121470446,3.5,1.4,0.3,0
5.6732426510929,3.8,1.7,0.3,0
5.320506240963136,3.8,1.5,0.3,0
4.946900258025141,3.4,1.7,0.2,0
4.8387003240591335,3.7,1.5,0.4,0
4.8789393666107985,3.6,1.0,0.2,0
4.227015107619413,3.3,1.7,0.5,0
5.082515870320491,3.4,1.9,0.2,0
4.654056432787087,3.0,1.6,0.2,0
3.8839819853585156,3.4,1.6,0.4,0
6.033919229451374,3.5,1.5,0.2,0
4.6921690515073005,3.4,1.4,0.2,0
4.829522706657236,3.2,1.6,0.2,0
4.848638143636217,3.1,1.6,0.2,0
5.500286449779705,3.4,1.5,0.4,0
4.891468177146942,4.1,1.5,0.1,0
6.336754021066723,4.2,1.4,0.2,0
4.55537752710438,3.1,1.5,0.2,0
4.985913309023521,3.2,1.2,0.2,0
5.53138770965393,3.5,1.3,0.2,0
4.984091107568326,3.6,1.4,0.1,0
4.87440688376403,3.0,1.3,0.2,0
5.575264021814113,3.4,1.5,0.2,0
5.716156933721908,3.5,1.3,0.3,0
4.996622821923871,2.3,1.3,0.3,0
4.151608011291357,3.2,1.3,0.2,0
4.444392890868648,3.5,1.6,0.6,0
4.587651414265922,3.8,1.9,0.4,0
5.024488515076897,3.0,1.4,0.3,0
4.3355375312924265,3.8,1.6,0.2,0
3.854890509087637,3.2,1.4,0.2,0
4.194062757061963,3.7,1.5,0.2,0
4.874540809882964,3.3,1.4,0.2,0
7.211045594344457,3.2,4.7,1.4,1
6.636380126640556,3.2,4.5,1.5,1
6.177045111280975,3.1,4.9,1.5,1
5.173891241932764,2.3,4.0,1.3,1
6.965760952560085,2.8,4.6,1.5,1
6.165221658454613,2.8,4.5,1.3,1
6.518656138185964,3.3,4.7,1.6,1
4.573359663754446,2.4,3.3,1.0,1
6.252324280178021,2.9,4.6,1.3,1
4.635325809793283,2.7,3.9,1.4,1
5.56057752619415,2.0,3.5,1.0,1
5.553535827402762,3.0,4.2,1.5,1
6.075998626415001,2.2,4.0,1.0,1
5.381895560518811,2.9,4.7,1.4,1
5.411708315432527,2.9,3.6,1.3,1
6.702879495863025,3.1,4.4,1.4,1
5.572762956549219,3.0,4.5,1.5,1
5.701484008558001,2.7,4.1,1.0,1
6.332137964987274,2.2,4.5,1.5,1
5.157641880762808,2.5,3.9,1.1,1
5.970125814061009,3.2,4.8,1.8,1
5.9283081495677346,2.8,4.0,1.3,1
6.314228214672595,2.5,4.9,1.5,1
6.754261084332752,2.8,4.7,1.2,1
6.29199259708977,2.9,4.3,1.3,1
7.2924345756881275,3.0,4.4,1.4,1
6.747313974417471,2.8,4.8,1.4,1
7.233752116581381,3.0,5.0,1.7,1
5.238727914637039,2.9,4.5,1.5,1
4.94266808120478,2.6,3.5,1.0,1
5.79193900587273,2.4,3.8,1.1,1
5.570578886182677,2.4,3.7,1.0,1
5.710495956038046,2.7,3.9,1.2,1
5.73385837731682,2.7,5.1,1.6,1
4.499202330795971,3.0,4.5,1.5,1
6.27507365944434,3.4,4.5,1.6,1
6.751648339583721,3.1,4.7,1.5,1
6.884864308097128,2.3,4.4,1.3,1
5.951470593667379,3.0,4.1,1.3,1
5.062889054711779,2.5,4.0,1.3,1
6.148249990119268,2.6,4.4,1.2,1
6.2579894196504755,3.0,4.6,1.4,1
6.020879975546162,2.6,4.0,1.2,1
5.002713958913558,2.3,3.3,1.0,1
5.154940285392661,2.7,4.2,1.3,1
5.997950669694592,3.0,4.2,1.2,1
6.167833117245973,2.9,4.2,1.3,1
6.618639087948517,2.9,4.3,1.3,1
4.410660832755501,2.5,3.0,1.1,1
5.882112147920597,2.8,4.1,1.3,1
